id,nama,namaKab,namaPartai,noUrut,originalFilename,stringJenisKelamin,dapil_id
139707,"M. TANWIER MAHDI, S.AG.MM",KOTA BANDA ACEH,PARTAI DEMOKRAT,2,"M. TANWIER MAHDI, S.AG.MM.jpg",Laki-Laki,1
161868,"M. SALIM FAKHRY, M.M.",ACEH TENGGARA,Partai Golongan Karya,2,M.SALIMFAKHRY_1102040003710001_PASFOTO 4X6.jpg,Laki-Laki,1
163535,"Dr. Ir. JAMIL ANSARI, SH, MM",JAKARTA BARAT,PARTAI BERKARYA,2,foto silon.JPG,Laki-Laki,1
175711,ROHAYA,ACEH BESAR,Partai Hati Nurani Rakyat,2,ROHAYA.PNG,Perempuan,1
178529,"ZULKARNAIN, S.E., M.M",JAKARTA BARAT,Persatuan Indonesia,2,ZULKARNAIN.jpg,Laki-Laki,1
207822,RAFLI,ACEH BESAR,Partai Keadilan Sejahtera,2,Pas PhotoRAFLI.jpg,Laki-Laki,1
244348,HAMIDIN MUHAMMAD,KOTA BANDA ACEH,Partai Keadilan dan Persatuan Indonesia,2,hamidin. aceh 1. fto.jpg,Laki-Laki,1
262004,RAMOND DONY ADAM,JAKARTA SELATAN,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,RAMOND DONNY ADAM.jpg,Laki-Laki,1
295565,SUMARDI,BEKASI,Partai Bulan Bintang,2,4x6.jpg,Laki-Laki,1
28712,MAHDALENA,ACEH BESAR,Partai Kebangkitan Bangsa,3,E_FOTO_MAHDALENA_ACEH 1.jpg,Perempuan,1
44210,"IRA HADIATI, SH",JAKARTA SELATAN,PARTAI BERKARYA,3,IRA.JPG,Perempuan,1
64683,ZULKARNAINI,KOTA BANDA ACEH,Partai Hati Nurani Rakyat,3,ZULKARNAINI.PNG,Laki-Laki,1
84486,"HJ. ILLIZA SA'ADUDDIN DJAMAL, SE",KOTA BANDA ACEH,Partai Persatuan pembangunan,3,fhto.jpeg,Perempuan,1
91716,"SRI HANUM, SE",ACEH BARAT,Partai Keadilan Sejahtera,3,FOTO SRI HANUM.jpg,Perempuan,1
95925,Dra. HJ. ZULHAFAH,KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,3,11. PAS FOTO.jpg,Perempuan,1
100419,"Hj. DRA. MEDIATI HAFNI HANUM, SH,. Mkn",KOTA BANDA ACEH,Partai NasDem,3,mediati.jpg,Perempuan,1
112209,"ZAKIYAH DRAZAT, S. Tr. Keb",ACEH BESAR,PARTAI AMANAT NASIONAL,3,zakiyah.JPG,Perempuan,1
178997,"SALAWATI DAHLAN MS, SE",KOTA BANDA ACEH,Partai Bulan Bintang,3,2.JPG,Perempuan,1
179743,CUT SRI MAINITA,KOTA BANDA ACEH,Partai Golongan Karya,3,CUT SRI MAINITA_1171080064780012_PASFOTO 4X6.jpg,Perempuan,1
179882,"SELFIA NINGSIH, S.Pd",ACEH TENGGARA,Persatuan Indonesia,3,SELFIA NINGSIH.jpg,Perempuan,1
200682,"ZAIYANA PUTRI, S.PD.M.PD",KOTA BANDA ACEH,PARTAI DEMOKRAT,3,"03-ZAIYANA PUTRI, S.PD.M.PD.jpg",Perempuan,1
211482,NURTI SARIANI,SIMEULUE,Partai Solidaritas Indonesia,3,FOTO.jpeg,Perempuan,1
240371,AFILIA TRI HANJANI,KOTA BEKASI,Partai Keadilan dan Persatuan Indonesia,3,FOTO AFILIA ACEH 1.jpeg,Perempuan,1
262278,DWI LUHNUARI JUMWATI,KOTA BANDA ACEH,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,DWI LUHNUARI JUMWATI.jpg,Perempuan,1
295932,FITRI MULIANI,KOTA LANGSA,Partai Gerakan Perubahan Indonesia,3,10707_290718_203825 fitri.png,Perempuan,1
43404,"DESI FITRIANI, S.Sos",KOTA DEPOK,Partai NasDem,4,9. Desi.jpg,Perempuan,1
90334,"EFFRI DANDA, S.E",KOTA BANDA ACEH,Persatuan Indonesia,4,EFRIDANDA.jpg,Laki-Laki,1
138717,H. MUHAMMAD RIZAL,KOTA BEKASI,Partai Keadilan Sejahtera,4,FOTO_M.RIZAL.jpg,Laki-Laki,1
139502,M. ALI YAKOB,KOTA BANDA ACEH,PARTAI DEMOKRAT,4,04-M. ALI YAKOB.jpg,Laki-Laki,1
160180,"H. JUNAIDI, SE",KOTA BANDA ACEH,PARTAI BERKARYA,4,Junaidi.JPG,Laki-Laki,1
161680,T. NASRUDDIN,ACEH SELATAN,Partai Kebangkitan Bangsa,4,E_FOTO WARNA_T NASRUDDIN_ACEH 1.jpg,Laki-Laki,1
170728,"ABDULLAH SALEH, SH",KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,4,FOTO 4X6_20180715_0001.jpg,Laki-Laki,1
177887,ROSNANI DJAKFAR,KOTA BANDA ACEH,Partai Hati Nurani Rakyat,4,ROSNANI DJAKFAR.PNG,Perempuan,1
181989,"Drs. H. SULAIMAN ABDA, M.Si",KOTA BANDA ACEH,Partai Golongan Karya,4,SULAIMAN ABDA_117104 006439 0044_PASFOTO 4X6.jpg,Laki-Laki,1
202211,H. NAZARUDDIN DEK GAM,KOTA BANDA ACEH,PARTAI AMANAT NASIONAL,4,Foto putih.jpg,Laki-Laki,1
210710,"PASMAH PUTRA ANDRY AGUNG, M.M.",KOTA BANDA ACEH,Partai Keadilan dan Persatuan Indonesia,4,PASMAH FOTO 4X6.JPG,Laki-Laki,1
211293,HERLINA,KOTA BANDA ACEH,Partai Solidaritas Indonesia,4,FOTO.jpg,Perempuan,1
226695,DRS. H.MISWAR SULAIMAN,ACEH BESAR,Partai Bulan Bintang,4,MISWAR.jpg,Laki-Laki,1
262559,"MUSLAHUDDIN DAUD, S.Ag",KOTA BANDA ACEH,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,MUSLAHUDDIN DAUD.jpg,Laki-Laki,1
266648,"ROSNI IDHAM,SE",ACEH BARAT,Partai Persatuan pembangunan,4,FHOTO.jpg,Perempuan,1
39274,KHAIRULLAH,JAKARTA TIMUR,Partai Kebangkitan Bangsa,5,E_FOTO_KHAIRULLAH_ACEH 1.jpg,Laki-Laki,1
52479,"ANGGARDA PARAMITA, S.Pd",ACEH TENGGARA,Partai Keadilan Sejahtera,5,ANGGARDA PARAMITHA ACEH1.jpeg,Perempuan,1
90160,"MONICA OVIANANDA, A.MD.",KOTA BANDA ACEH,Persatuan Indonesia,5,MONICA.jpg,Perempuan,1
103205,IRSAN SOSIAWAN,JAKARTA PUSAT,Partai NasDem,5,FOTO.jpg,Laki-Laki,1
122594,"LELI HERAWATI, A.Md",JAKARTA SELATAN,PARTAI AMANAT NASIONAL,5,Leli Herawati.jpg,Perempuan,1
134799,IBNU AQIL,ACEH BESAR,Partai Persatuan pembangunan,5,Fhoto aqil.jpg,Laki-Laki,1
138480,"T. ISKANDAR DAOD, SE,M.Si.Ak.",ACEH BARAT,PARTAI DEMOKRAT,5,"05-T. ISKANDAR DAOD, SE,M.Si.Ak..jpg",Laki-Laki,1
141085,"Drs.. H.SJECH AHMADIN, MM",ACEH TENGGARA,Partai Bulan Bintang,5,SKCK AHMADIN.jpg,Laki-Laki,1
169793,AINAL MARDHIAH,ACEH BESAR,PARTAI GERAKAN INDONESIA RAYA,5,foto Ainal Mardiah.jpg,Perempuan,1
173881,AGUSNIN ARIF,ACEH BESAR,Partai Hati Nurani Rakyat,5,AGUSNIN ARIF.PNG,Laki-Laki,1
178590,Drs. H.T. ZULKARNAINI,NAGAN RAYA,Partai Golongan Karya,5,T.ZULKARNAINI.jpg,Laki-Laki,1
179750,SUMIATI,KOTA BANDA ACEH,PARTAI BERKARYA,5,WhatsApp Image 2018-07-29 at 22.29.48.jpeg,Perempuan,1
212383,NUR MAILIS,KOTA SUBULUSSALAM,Partai Solidaritas Indonesia,5,FOTO.jpeg,Perempuan,1
245394,ERMANITA,ACEH BESAR,Partai Keadilan dan Persatuan Indonesia,5,ermanita. aceh 1. fto.jpg,Perempuan,1
270313,"TITI WIDYAWATI, S.P.",KOTA PALANGKARAYA,PARTAI DEMOKRASI INDONESIA PERJUANGAN,5,RED_0899 copy.jpg,Perempuan,1
28666,"IDAWATI, S.E",ACEH BESAR,Partai Kebangkitan Bangsa,6,E_FOTO_IDAWATI_ACEH 1.jpg,Perempuan,1
35028,"MARGONINGSIH, SE",JAKARTA UTARA,PARTAI AMANAT NASIONAL,6,gfgf.JPG,Perempuan,1
52279,"DEVI ARIANI, S.SOS",ACEH BARAT,Partai Keadilan Sejahtera,6,IMG_0308e.jpg,Perempuan,1
75389,DASLELIATI,KOTA BANDA ACEH,PARTAI BERKARYA,6,Delianti.JPG,Perempuan,1
88729,AHMAD NABIL,ACEH BESAR,Partai Solidaritas Indonesia,6,foto.jpg,Laki-Laki,1
103457,"IR. JUFRI HASANUDDIN, MM",ACEH BARAT DAYA,Partai NasDem,6,13. Pas Foto.jpg,Laki-Laki,1
150166,H. RUSYDI AW,PIDIE,Partai Persatuan pembangunan,6,FOTO (1).jpg,Laki-Laki,1
166979,"IDARYANI, SE.M.Si",KOTA BANDA ACEH,PARTAI DEMOKRAT,6,"06-Idaryani, SE.M.Si-croped.jpg",Perempuan,1
174774,"MARDIANA, S.SOS. I",KOTA BANDA ACEH,Partai Bulan Bintang,6,FOTO MARDIANA.jpg,Perempuan,1
179751,"NENI RUMIANTI DAULAY, S.E.",KOTA BANDA ACEH,Partai Golongan Karya,6,PAS FOTO 4X6 NENI RUMIANTI DAULAY ACEH I.jpeg,Perempuan,1
293295,SAMSIR ALI,GAYO LUES,Persatuan Indonesia,6,SAMSIR ALI.jpg,Laki-Laki,1
295942,NASRAN AB,ACEH SINGKIL,PARTAI DEMOKRASI INDONESIA PERJUANGAN,6,NASRAN AB.jpg,Laki-Laki,1
298664,"Drs. H. SAYUTHI IS, MM",KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,6,FOTO 4 X 6 SAYUTHI.jpg,Laki-Laki,1
302759,AZIZAH,ACEH BESAR,Partai Hati Nurani Rakyat,6,1101_6.jpg,Perempuan,1
21246,"SUHARNI BUSTAMI, S.Pd",KOTA BANDA ACEH,Partai Kebangkitan Bangsa,7,E_foto warna_suharni bustami_Aceh 1_001.jpg,Perempuan,1
30115,SULAIMAN ALI,KOTA BANDA ACEH,PARTAI AMANAT NASIONAL,7,Sulaiman Ali.jpg,Laki-Laki,1
44448,SAFRAN,JAKARTA TIMUR,Partai Solidaritas Indonesia,7,9. PAS FOTO - SAFRAN.JPG,Laki-Laki,1
51174,"M. YUNUS AZHARI, SH",ACEH BARAT,Partai Keadilan Sejahtera,7,"4x6_M.Yunus Azhari, S.H._Aceh1.JPG",Laki-Laki,1
107116,"Dra. NURHUSNA RAZALI, M.Pd",ACEH BESAR,Partai NasDem,7,nurhusna.jpg,Perempuan,1
120465,CUT MEUTIA ADRINA,JAKARTA PUSAT,PARTAI GERAKAN INDONESIA RAYA,7,FOTO_20180731_0001.jpg,Perempuan,1
163916,CITRA LEVIONITA ANDREAN,KOTA TANGERANG SELATAN,Persatuan Indonesia,7,CITRA ACEH 1.jpg,Perempuan,1
180077,"CUT NURMALAHAYATI U, S.E.",KOTA BANDA ACEH,Partai Golongan Karya,7,CUT NURMALAHAYATI_.JPG,Perempuan,1
225229,DHAHRATUL AINI,PIDIE,Partai Bulan Bintang,7,DHAHRATUL AINI.jpg,Perempuan,1
248409,"H. SAYED FUAD ZAKARIA, SE",KOTA TANGERANG SELATAN,PARTAI BERKARYA,7,sayed.JPG,Laki-Laki,1
255267,"RAHMIATI, SE.Ak",KOTA BANDA ACEH,PARTAI DEMOKRAT,7,07-RAHMIATI.jpg,Perempuan,1
262920,LIRA AMALIA,KOTA BANDA ACEH,PARTAI DEMOKRASI INDONESIA PERJUANGAN,7,LIRA.jpg,Perempuan,1
276048,ONIE SEPTARINA R,GAYO LUES,Partai Persatuan pembangunan,7,Fhoto.jpg,Perempuan,1
7725,Ir. H. TAGORE ABU BAKAR,BENER MERIAH,PARTAI DEMOKRASI INDONESIA PERJUANGAN,1,TAGORE ABUBAKAR.jpg,Laki-Laki,2
25762,ZULFAN LINDAN,JAKARTA SELATAN,Partai NasDem,1,11. Pas Foto Zulfan Lindan (Biru) NEW.jpg,Laki-Laki,2
36360,TEUKU HASBULLAH. HD,KOTA BANDA ACEH,PARTAI AMANAT NASIONAL,1,jb.jpg,Laki-Laki,2
51369,"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",JAKARTA SELATAN,Partai Keadilan Sejahtera,1,ACEH2_NASIR DJAMIL.jpg,Laki-Laki,2
111867,"Ir. H. T. A. KHALID, M.M",KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,1,WhatsApp Image 2018-07-31 at 13.44.21.jpeg,Laki-Laki,2
112873,"H ANWAR IDRIS,DRS",BIREUEN,Partai Persatuan pembangunan,1,pas photo merah.jpg,Laki-Laki,2
122050,Drs. TEUKU BUSTAMI UMAR,JAKARTA SELATAN,PARTAI BERKARYA,1,FOTO.JPG,Laki-Laki,2
130318,"MUSLIM, SHI.MM",JAKARTA SELATAN,PARTAI DEMOKRAT,1,01-MUSLIM.jpg,Laki-Laki,2
158892,"AGUSTIAWAN NUR, SE",KOTA LHOKSEUMAWE,Partai Gerakan Perubahan Indonesia,1,foto.jpeg,Laki-Laki,2
167561,MIRWAN AMIR,JAKARTA SELATAN,Partai Hati Nurani Rakyat,1,MIRWAN AMIR.PNG,Laki-Laki,2
180708,"AZHARI CAGE, S.IP",ACEH UTARA,Partai Bulan Bintang,1,FOTO AZHARI.jpg,Laki-Laki,2
182959,"KAMARUDDIN, SH",ACEH TAMIANG,Partai Solidaritas Indonesia,1,Foto 2.jpg,Laki-Laki,2
218621,GIVIANNA ELY,ACEH BESAR,Persatuan Indonesia,1,PHOTO_001.jpg,Perempuan,2
281907,USWATUN CHASANAH,SUKOHARJO,Partai Keadilan dan Persatuan Indonesia,1,foto Uswatun Chasanah (2).jpg,Perempuan,2
293954,"MAHFUZD, SE",KOTA TANGERANG SELATAN,Partai Kebangkitan Bangsa,1,E-FOTO_MAHFUDZ_ACEH 2.jpg,Laki-Laki,2
294192,ILHAM PANGESTU,KOTA LANGSA,Partai Golongan Karya,1,FOTO YANG BENAR ILHAM PANGESTU - 0008.jpg,Laki-Laki,2
21615,"MAWARDI ABDULLAH, M.M.",JAKARTA SELATAN,Partai Bulan Bintang,2,MAWARDI ABDULLAH_Page_2.jpg,Laki-Laki,2
21666,"Drs. T.A. RAHMAN ALBA, MM",JAKARTA SELATAN,PARTAI BERKARYA,2,FOTO.JPG,Laki-Laki,2
22982,"SAYUTI, SH.MH",JAKARTA SELATAN,Partai Kebangkitan Bangsa,2,E_foto warna_sayuti abu bakar_aceh 2.jpg,Laki-Laki,2
52672,"TGK. H. MUHAMMAD NUR, M. Si",ACEH UTARA,Partai Keadilan Sejahtera,2,foto_TgkHMuhammadNur_Aceh2.JPG,Laki-Laki,2
92239,HERMAN KOSASIH,KOTA BANDA ACEH,Persatuan Indonesia,2,PHOTO_001.jpg,Laki-Laki,2
111649,"Dr. AHMAD FARHAN HAMID, MS",KOTA BANDA ACEH,PARTAI AMANAT NASIONAL,2,AFH KECIL.jpg,Laki-Laki,2
137629,AKMAL HANIF,ACEH UTARA,Partai Persatuan pembangunan,2,Fhoto.jpg,Laki-Laki,2
146159,SARA NAIDU,JAKARTA SELATAN,Partai Hati Nurani Rakyat,2,SARA RINDU.PNG,Perempuan,2
151706,MUHARUDDIN,KOTA BANDA ACEH,Partai NasDem,2,MUHARUDDIN2.jpg,Laki-Laki,2
155782,MIRNAWATI,KOTA LANGSA,PARTAI DEMOKRAT,2,MIRNAWATI1.jpg,Perempuan,2
164299,TGK. MUNTAHA,ACEH UTARA,Partai Gerakan Perubahan Indonesia,2,foto.png,Laki-Laki,2
179368,DRS. H. MARZUKI DAUD,JAKARTA TIMUR,Partai Golongan Karya,2,Drs. H Marzuki Daud Scan Photo 4x6.jpg,Laki-Laki,2
202755,CUT PUTEH,KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,2,img018.jpg,Perempuan,2
209516,"RAMADLAN, ST, MT",KOTA LHOKSEUMAWE,Partai Solidaritas Indonesia,2,pas foto.jpg,Laki-Laki,2
263572,"HJ. MARIA KARSIA, S.S.",JAKARTA PUSAT,PARTAI DEMOKRASI INDONESIA PERJUANGAN,2,FOTO.JPG,Perempuan,2
21284,SRI ARIANA NINGSIH,KOTA BANDA ACEH,Partai Kebangkitan Bangsa,3,E_foto warna_sri ariana ningsih_aceh 2.jpg,Perempuan,2
24903,"GUNTARAYADI, S.P.",BENER MERIAH,PARTAI DEMOKRASI INDONESIA PERJUANGAN,3,GUNTARAYADI.jpg,Laki-Laki,2
37258,"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",KOTA LHOKSEUMAWE,Partai Bulan Bintang,3,FOTO CUT AYU.jpg,Perempuan,2
52179,"Dr. SUESILOWATY, SE., M.MPar",JAKARTA TIMUR,Partai Keadilan Sejahtera,3,ACEH2_SUESILOWATI.jpg,Perempuan,2
94393,FATIMAH ZUHRA,ACEH TAMIANG,Partai NasDem,3,1531903504.jpg,Perempuan,2
115378,ANJAR AULIA,KOTA LHOKSEUMAWE,PARTAI AMANAT NASIONAL,3,Anjar Aulia OK.jpg,Perempuan,2
129070,"HAMDAN SATI, ST",ACEH TAMIANG,PARTAI DEMOKRAT,3,"03-HAMDAN SATI, ST-croped.jpg",Laki-Laki,2
137987,NURHANITA ZAHARA,KOTA BANDA ACEH,Partai Persatuan pembangunan,3,IMG_050000.jpg,Perempuan,2
180078,TATA MOEDA TAQWA,KOTA LANGSA,Partai Hati Nurani Rakyat,3,TATA BMOEDA TAQWA.PNG,Laki-Laki,2
185210,IKA LESTARI,BENER MERIAH,Partai Solidaritas Indonesia,3,FOTO.jpg,Perempuan,2
186011,"HERMAN BAHARI, S.H",ACEH TAMIANG,Persatuan Indonesia,3,HERMAN BAHARI_001.jpg,Laki-Laki,2
214875,SELVI OKTARICA,ACEH UTARA,PARTAI BERKARYA,3,FOTO.JPG,Perempuan,2
234067,"T. ZAINAL ABIDIN, S.Pd.I",KOTA LANGSA,PARTAI GERAKAN INDONESIA RAYA,3,FOTO_20180716_0001.jpg,Laki-Laki,2
235740,"CUT RIZKA SEPTIANI, M.Si",JAKARTA SELATAN,Partai Golongan Karya,3,CUT RIZKA SEPTIANI_3174080260480033_pasfoto 4X6?.jpg,Perempuan,2
295809,"WARDANI MARLINA, SE",BOGOR,Partai Gerakan Perubahan Indonesia,3,10220_300718_222705 wardani.png,Perempuan,2
38144,"ERMIADI ABDUL RAHMAN, ST",ACEH BESAR,PARTAI AMANAT NASIONAL,4,ERMIADI.jpg,Laki-Laki,2
52129,BARMANSYAH,JAKARTA SELATAN,Partai Keadilan Sejahtera,4,ACEH2_BARMANSYAH.jpg,Laki-Laki,2
91766,"RAZALI ZAINUDDIN, A.Md.",ACEH UTARA,Persatuan Indonesia,4,RAZALI.jpg,Laki-Laki,2
94018,EFENDI,BIREUEN,Partai NasDem,4,Scan Foto Efendi.jpg,Laki-Laki,2
161055,"FIRMANDEZ, S.E., Ak.",JAKARTA SELATAN,Partai Golongan Karya,4,pass foto  FIRMANDEZ.jpg,Laki-Laki,2
161127,CUT ERNITA,ACEH TENGAH,Partai Solidaritas Indonesia,4,PAS FOTO (1).jpg,Perempuan,2
164089,"H. NASRUL FUAD, SE, AK",KOTA BOGOR,PARTAI BERKARYA,4,FOTO.JPG,Laki-Laki,2
179101,ALAMSYAH,ACEH TENGAH,Partai Hati Nurani Rakyat,4,ALAMSYAH.PNG,Laki-Laki,2
179328,"H. A. RIDWAN M DALLAH, SE",KOTA BANDA ACEH,Partai Bulan Bintang,4,RIDWAN M DALLAH.jpg,Laki-Laki,2
239103,Ir. SYUKUR KOBATH,ACEH TENGAH,Partai Persatuan pembangunan,4,Fhoto.jpg,Laki-Laki,2
256998,"FERRY MUNANDAR, ST",KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,4,Pas Photo.jpg,Laki-Laki,2
258360,JAMALUDDIN T MUKU,KOTA BANDA ACEH,PARTAI DEMOKRAT,4,04-Jamaluddin T Muku.jpg,Laki-Laki,2
263936,HUSAINI MH,KOTA LHOKSEUMAWE,PARTAI DEMOKRASI INDONESIA PERJUANGAN,4,FOTO.jpg,Laki-Laki,2
300266,RUSLAN M. DAUD,BIREUEN,Partai Kebangkitan Bangsa,4,FOTO 4X6 WARNA_001.jpg,Laki-Laki,2
23192,RAHMI ABDI,ACEH BESAR,Partai Kebangkitan Bangsa,5,E-FOTO 4X6 WARNA_RAHMI ABDI_ACEH II - Copy.jpg,Perempuan,2
62130,"DR. IBRAHIM HASYIM SE, MM",JAKARTA BARAT,Partai NasDem,5,1531904112.jpg,Laki-Laki,2
81420,"Ir. H. NASARUDDIN, MM",ACEH TENGAH,PARTAI GERAKAN INDONESIA RAYA,5,IMG_9046d.jpg,Laki-Laki,2
89255,"M. YUSUF ISMAIL PASE, SH, MH",KOTA LHOKSEUMAWE,Partai Keadilan Sejahtera,5,6. 4x6 dan 3x4_MYusufIsmailPase_Aceh2.jpg,Laki-Laki,2
138322,"JAMALUDIN, SE",ACEH UTARA,Partai Persatuan pembangunan,5,fhoto jamaludin.jpeg,Laki-Laki,2
155643,KAUTSAR MUHAMMAD YUS,KOTA BANDA ACEH,PARTAI DEMOKRAT,5,05-Kautsar Muhammad Yus.jpg,Laki-Laki,2
180149,MAULIZA WULANDARI,KOTA LHOKSEUMAWE,Partai Hati Nurani Rakyat,5,MAULIZA WULANDARI.PNG,Perempuan,2
180214,"REDUK NILAWARNI, S.Pd",JAKARTA TIMUR,Partai Golongan Karya,5,REDUK NILAWARNI_3175060261090086_PASFOTO 4x6.jpg,Perempuan,2
183579,ZAMZAMI,ACEH TIMUR,Partai Solidaritas Indonesia,5,FOTO.jpg,Laki-Laki,2
218836,NURHAYATI,BIREUEN,Persatuan Indonesia,5,PHOTO_001.jpg,Perempuan,2
243392,"ROSNAWATI, S.Pd.I",BIREUEN,PARTAI AMANAT NASIONAL,5,ROSNAWATI.jpg,Perempuan,2
263577,SUNDARI,KOTA BANDA ACEH,PARTAI BERKARYA,5,FOTO.JPG,Perempuan,2
270565,MUHAMMAD SUFI,KOTA LANGSA,PARTAI DEMOKRASI INDONESIA PERJUANGAN,5,MUHAMMAD SUFI.jpg,Laki-Laki,2
279241,"ISWADI, M.Pd",KOTA BANDA ACEH,Partai Bulan Bintang,5,ISWAHDI ACEH 2.jpeg,Laki-Laki,2
37499,"FAISAL RIDHA, S.Ag., MM",ACEH BESAR,Partai Kebangkitan Bangsa,6,E-FOTO 4X6_FAISHAL RIDHA_ACEH II.JPG,Laki-Laki,2
92712,"SARI DEWI, SE.Ak",BIREUEN,Partai Keadilan Sejahtera,6,foto sari dewi.jpg,Perempuan,2
111400,"H. BASRUN YUSUF, SH",ACEH BESAR,PARTAI AMANAT NASIONAL,6,Basrun Yusuf OK.jpg,Laki-Laki,2
141507,HAMDANI IDRIS,KOTA LHOKSEUMAWE,PARTAI BERKARYA,6,PAS FOTO - DPR RI - ACEH 2 - HAMDANI IDRIS_1.jpg,Laki-Laki,2
169232,"SITI NURMASYITHAH, S.Sos",KOTA BANDA ACEH,PARTAI GERAKAN INDONESIA RAYA,6,pasphoto DPRRI 4x6.jpg,Perempuan,2
177629,SANDY PANGESTU,BENER MERIAH,Partai Hati Nurani Rakyat,6,SANDY PANGESTU.PNG,Laki-Laki,2
179531,SIWI ASRI MOPRIRATNA,JAKARTA TIMUR,Persatuan Indonesia,6,SIWI_001.jpg,Perempuan,2
184269,M HUSNI,BENER MERIAH,Partai Solidaritas Indonesia,6,Capture.JPG,Laki-Laki,2
187563,RIMA MELATI,PIDIE,Partai NasDem,6,FOTO_RIMA MELATI.JPG,Perempuan,2
247767,T. YUSNI,ACEH TAMIANG,Partai Golongan Karya,6,T.YUSNI_1116060058380014_PASFOTO 4X6.jpg,Laki-Laki,2
258571,PINUS YANI,ACEH BESAR,PARTAI DEMOKRAT,6,06-Pinus Yani.jpg,Perempuan,2
